Key,Value
venison_burger,162
caramelized_cheese,162
red_sauce,162
today,162
tasted_good,161
luke,161
raw_oysters,161
always_great,161
pretty_big,161
house_made,161
red_snapper,160
really_busy,160
already,160
sunday_afternoon,160
very_popular,160
great_choice,160
roasted_chicken,160
found,159
several,159
thought,159
consistently_good,159
every_penny,158
fried_boudin,158
baconwrapped_dates,158
great_vibe,158
nt_usually,158
different_kinds,158
NUM_sashimi,158
smoked_eggplant,158
sweet_chili,157
fried_potatoes,157
solid_NUM,157
cute_little,157
entire_meal,157
having,157
buddha_bowls,157
black_bean,157
vegan_food,157
nt_going,156
quality,156
soy_sauce,156
NUM_large,156
florentine_benedict,156
mercadito,156
beef_hash,155
table,155
sushi_deluxe,155
early,155
yellow_tail,155
very_quickly,155
louis_style,154
nothing_else,154
recommended,154
little_loud,154
raw_fish,154
stop,154
excited,154
tasty,153
chorizostuffed_medjool,153
nt_great,153
lobster_caprese,153
morning,153
red_pepper,153
toast,153
orange_juice,152
gen,152
belly_pancake,152
looked_good,152
good_choice,152
NUM_tables,152
regular_menu,152
find_something,152
cream_sauce,152
very_interesting,151
french_food,150
very_light,150
very_large,150
star_review,150
another_shot,150
yummy,150
solid,149
chorizostuffed_dates,149
wood_fired,149
always_fresh,149
ve_found,149
ve_ordered,149
past_weekend,148
nt_stand,148
hot_chocolate,148
super_tasty,148
NUM_sides,148
really_fresh,147
high,147
nt_exactly,147
every_table,147
nt_decide,147
pretty_fast,147
chili_sauce,147
lincoln_park,147
parmesan_fries,147
bad_service,147
great_ambiance,146
nt_impressed,146
order_something,146
why_people,146
worth_checking,146
during_peak,146
taste_good,146
nothing_spectacular,146
favorite_tapas,146
little_dry,146
fish_tacos,145
every_night,145
price_point,145
brunch_spot,145
brown_rice,145
very_pleased,145
fatty_tuna,145
boyfriend_ordered,144
spanish_food,144
windy_city,144
truffled_garlic,144
another_table,144
spicy_sauce,144
quick_bite,144
goat_chili,144
cool,144
seafood_paella,143
family,143
crab_dip,143
extra_sauce,143
husband_ordered,143
bit_small,143
bim_bop,143
before_NUM,143
drink_order,143
coop,143
baked_goat,143
many_options,142
malnati_chicago,142
NUM_friends,142
heard_great,142
before_going,142
cajun_food,142
nt_realize,142
tasty_food,142
croquetas_de,142
wife,142
asado_con,142
sweet_peppers,141
fresh_fruit,141
really_impressed,141
stop_eating,141
marinara_sauce,141
love_fries,141
good_fries,140
mouth_watering,140
ten_minutes,140
lou_malnatis,140
crispy_french,140
actually_pretty,140
besh_restaurant,140
sprout_salad,140
small_side,139
onion_strings,139
spinach_salad,139
really_care,139
chopped_salad,139
cent_oysters,139
gets_crowded,139
smoked_duck,139
roasted_pork,138
cocktail_menu,138
nt_worry,138
nt_work,138
meat_eater,138
fried_oysters,138
loved_everything,138
parmesan_truffle,138
pretty_standard,138
NUM_cents,138
great_recommendations,138
buttery_crust,138
seated_promptly,138
eggplant_mayo,138
sashimi_platter,138
surprisingly_good,138
looked_amazing,138
patty_melt,137
art_institute,137
high_hopes,137
nt_good,137
st_louis,137
buffalo_wings,137
pretty_quick,136
very_pleasant,136
definitely_make,136
any_means,136
dish_pizzas,136
perfect_size,136
bit_dry,136
hot_spot,135
looked_great,135
months,135
joint,135
perfect_balance,135
chocolate_sauce,135
attentive_service,134
jazz_band,134
nothing_really,134
staff,134
favorite_dishes,134
its_worth,134
smoked_fries,134
always_crowded,134
bad_boy,134
really_loud,134
peak_hours,133
fresh_ingredients,133
sandwich,133
really_loved,133
very_affordable,133
simply_amazing,132
sashimi_combo,132
reservation_time,132
really_excited,132
NUM_blocks,132
pretty_crowded,132
nt_imagine,132
good_price,132
waiting_NUM,131
horseradish_potato,131
sweet_tea,131
price_tag,131
gets,131
very_excited,131
impressed,131
large_portion,131
crust,130
long_waits,130
super_delicious,130
seoul_steak,130
mind_blowing,130
pork,130
jamon_iberico,130
really_taste,130
wait_long,130
feel,130
green_peppers,129
huge_portions,129
because_its,129
top,129
half_chicken,129
bbq_places,129
french_bistro,129
fast_service,129
busy,129
different_flavors,129
good_burger,129
ll,128
irish_curry,128
grass_fed,128
high_end,128
ll_love,128
bar_steak,128
weeks,128
back_room,128
house_wine,128
burnt_cheese,128
sat_outside,128
pretty_packed,128
fellow_yelpers,128
serrano_ham,128
really_crowded,127
based,127
food_court,127
jambalaya_supreme,127
butternut_squash,127
wisconsin_cheddar,127
cheese,126
bit_loud,126
ll_make,126
shrimp_tacos,126
eat_meat,126
fresh_cut,126
chocolate_mousse,126
tourist_trap,126
everyone_raves,126
super_busy,126
location,126
fried_okra,125
carmelized_crust,125
boy_buddha,125
reservations,125
great_sushi,125
pretty_amazing,125
probably_because,125
pincho_de,125
another_restaurant,125
vinegar_based,124
pricey_side,124
week_menu,124
nt_waste,124
small_group,124
year_ago,124
evening,124
worth_going,124
really_small,124
con_alioli,124
before_heading,124
signature_dish,124
very_yummy,124
cool_atmosphere,124
exposed_brick,124
price,124
ve_tasted,123
times_before,123
fries_themselves,123
many_years,123
